"","player_name","player_id","combWoba","combXwoba","combLaunch_angle","combLaunch_speed","combBatted_ball_direction_0","combBatted_ball_direction_1","combBatted_ball_direction_2"
"115","Troy Tulowitzki","453064","0.366374274661509","0.378103481624758","12.6806576402321","89.1147001934236","429","371","234"
"116","Shane Robinson","453203","0.246226537216828","0.249271844660194","8.59611650485437","82.9203883495146","87","139","83"
"117","Chris Johnson","453400","0.356422619047619","0.410247023809524","10.5815476190476","89.4809523809524","119","110","107"
"118","Charlie Blackmon","453568","0.431818001978239","0.386096439169139","13.2131058358061","86.5804154302671","819","728","475"
"119","Gregor Blanco","453923","0.332653696498054","0.310543450064851","11.2581063553826","84.3278858625162","280","272","219"
"120","Todd Frazier","453943","0.375592821782178","0.37960396039604","19.336448019802","88.7024133663366","715","565","336"
"121","A.J. Ellis","454560","0.314770244821092","0.334146892655367","10.9258003766478","86.2809792843691","156","220","155"
"122","Chris Iannetta","455104","0.357405140758874","0.372374541003672","14.7851897184823","89.5359853121175","319","288","210"
"123","Martin Maldonado","455117","0.325404710920771","0.324289079229122","11.0631691648822","84.6713062098501","344","354","236"
"124","Robinson Chirinos","455139","0.422265335235378","0.392808844507846","17.6018544935806","86.5891583452211","340","221","140"
"125","Chris Stewart","455755","0.264484057971015","0.283788405797101","7.1968115942029","83.135652173913","134","129","82"
"126","Chris Young","455759","0.373672106824926","0.330596439169139","19.5373887240356","85.6348664688427","353","204","117"
"127","Nick Markakis","455976","0.34070230105465","0.347175934803452","9.18374880153404","89.4413231064238","603","863","620"
"128","Dustin Pedroia","456030","0.349238794435858","0.32189258114374","8.87928902627512","87.2962905718702","443","487","364"
"129","Welington Castillo","456078","0.411034632034632","0.422017316017316","13.5528138528139","89.3095238095238","370","352","202"
"130","Erik Kratz","456124","0.285629770992366","0.322148854961832","12.8503816793893","88.8309160305344","103","95","64"
"131","Michael Bourn","456422","0.325684294871795","0.308634615384615","5.92147435897436","82.6778846153846","202","257","165"
"132","Eduardo Nunez","456488","0.350433936955064","0.306431924882629","7.1747149564051","87.5391012743125","478","602","411"
"133","Steve Pearce","456665","0.386405162738496","0.378354657687991","15.4896745230079","88.3572390572391","399","305","187"
"134","Billy Butler","456714","0.341092024539877","0.400133435582822","8.71855828220859","89.5240797546012","214","241","197"
"135","Lorenzo Cain","456715","0.380489100055897","0.363862493012856","8.55382895472331","89.3149245388485","536","727","526"
"136","Jarrod Saltalamacchia","457454","0.377140410958904","0.418335616438356","20.1239726027397","89.5575342465753","128","101","63"
"137","Alejandro De Aza","457477","0.348466666666667","0.346772043010753","12.7","84.9333333333333","163","197","105"
"138","Andrew McCutchen","457705","0.393724557522124","0.407800331858407","14.373064159292","89.6912057522124","729","689","390"
"139","Austin Jackson","457706","0.382532224532225","0.365886694386694","9.04594594594595","87.8547817047817","306","395","261"
"140","Justin Upton","457708","0.448143889618922","0.44192444152431","14.8414586070959","90.1814717477004","582","573","367"
"141","Cameron Maybin","457727","0.343887223974763","0.324492113564669","4.10441640378549","86.9258675078864","388","527","353"
"142","Justin Turner","457759","0.403262006079027","0.404289969604863","16.6379331306991","89.5496048632219","587","606","452"
"143","Buster Posey","457763","0.356432084963667","0.375183342649525","10.6173840134153","89.3259921743991","593","687","509"
"144","Desmond Jennings","457775","0.319088495575221","0.318858407079646","7.03318584070796","86.2106194690265","78","95","53"
"145","Danny Espinosa","457787","0.363782442748092","0.345174300254453","11.49631043257","85.2748091603054","361","262","163"
"146","Jay Bruce","457803","0.387157552083333","0.408853515625","16.8369791666667","88.8615234375","652","563","321"
"147","Joey Votto","458015","0.439085484796328","0.445158921399885","12.4806655192197","88.6776821572002","593","641","509"
"148","Chris Coghlan","458085","0.335882838283828","0.340323432343234","9.70247524752475","87.1712871287129","229","216","161"
"149","Colby Rasmus","458675","0.431441358024691","0.416243827160494","17.8515432098765","87.9287037037037","320","205","123"
"150","Brett Gardner","458731","0.341920967741935","0.32720376344086","8.2889247311828","86.0460215053763","575","767","518"
"151","Eric Young Jr.","458913","0.303470085470085","0.288713675213675","0.91965811965812","82.2038461538461","71","109","54"
"152","Michael Saunders","459431","0.40178007518797","0.385357142857143","10.8167293233083","88.5445488721805","195","210","127"
"153","Matt Joyce","459964","0.353828143021915","0.378145328719723","14.7424452133795","87.4911188004614","357","317","193"
"154","Nick Hundley","460026","0.393729437229437","0.366735930735931","12.3588744588745","88.7487012987013","338","340","246"
"155","Cliff Pennington","460060","0.30580044345898","0.316088691796009","11.8607538802661","83.840354767184","161","168","122"
"156","Ryan Braun","460075","0.411210204081633","0.412852380952381","6.23884353741497","90.9013605442177","505","562","403"
"157","Drew Butera","460077","0.315967213114754","0.293011709601874","16.6718969555035","84.0512880562061","157","152","118"
"158","Alex Gordon","460086","0.352256696428571","0.385678571428571","13.4412946428571","87.6042410714286","561","486","297"
"159","Nolan Reimold","460099","0.366049056603774","0.325339622641509","12.6422641509434","86.2060377358491","99","103","63"
"160","Chris Gimenez","460269","0.354243835616438","0.360164383561644","11.292602739726","85.2090410958904","162","126","77"
"161","Carlos Gomez","460576","0.380829396325459","0.36138145231846","12.863167104112","86.0217847769029","424","447","272"
"162","Brandon Moss","461235","0.410437947494033","0.452448687350835","19.7683770883055","88.8107398568019","391","268","179"
"163","Matt Kemp","461314","0.40835072815534","0.431952669902913","12.5281553398058","88.8856796116505","642","624","382"
"164","Will Venable","461416","0.338287822878229","0.314645756457565","2.27416974169742","85.5808118081181","87","109","75"
"165","David Murphy","461815","0.344789308176101","0.315663522012579","7.8503144654088","88.1251572327044","118","125","75"
"166","Trevor Plouffe","461858","0.352142701525055","0.378322440087146","12.5209150326797","89.1532679738562","357","361","200"
"167","Andrew Romine","461865","0.308217391304348","0.307212560386473","6.04074074074074","82.5954911433172","188","244","189"
"168","Elvis Andrus","462101","0.340538095238095","0.3202","8.27190476190476","86.3288888888889","717","735","438"
"169","Gregorio Petit","463610","0.319502164502165","0.319359307359307","9.28484848484849","86.0476190476191","71","94","66"
"170","Francisco Cervelli","465041","0.358551851851852","0.358385185185185","8.28814814814815","87.3674074074074","384","412","284"
"171","Melky Cabrera","466320","0.339795381310419","0.34168850698174","9.59070891514501","89.0262083780881","670","687","505"
"172","Pablo Sandoval","467055","0.319554430379747","0.327807594936709","9.89164556962025","88.7020253164557","232","322","236"
"173","Elian Herrera","467070","0.374032085561497","0.351032085561497","15.703743315508","84.4117647058823","73","50","64"
"174","Wilson Ramos","467092","0.372812154696133","0.392154696132597","4.6939226519337","90.1370165745856","427","518","322"
"175","Carlos Santana","467793","0.347611917098446","0.371722279792746","13.8458549222798","89.210621761658","895","667","368"
"176","Gerardo Parra","467827","0.363858136300417","0.345118219749652","7.15897079276773","85.97719054242","471","577","390"
"177","Miguel Montero","471083","0.340866666666667","0.347613333333333","11.5943333333333","86.878","212","230","158"
"178","Carlos Gonzalez","471865","0.41942492211838","0.381267289719626","7.90492211838006","89.3163862928349","545","689","371"
"179","Luis Valbuena","472528","0.377203092783505","0.385701030927835","16.6957731958763","87.9623711340206","399","329","242"
"180","Hank Conger","474233","0.37458407079646","0.331477876106195","16.6761061946903","87.8300884955752","112","62","52"
"181","Ivan De Jesus Jr.","474443","0.336615625","0.349540625","4.97375","84.73375","87","128","105"
"182","Jordy Mercer","474568","0.323271152564957","0.331606262491672","10.0442371752165","86.3568954030646","546","588","367"
"183","Brandon Belt","474832","0.41679925093633","0.449310112359551","19.8605992509363","87.7747565543071","496","468","371"
"184","Chris Carter","474892","0.442546722454672","0.468629009762901","20.0761506276151","91.3488145048815","281","281","155"
"185","Scott Van Slyke","475100","0.334237918215613","0.362026022304833","16.4323420074349","87.189219330855","119","100","50"
"186","Yonder Alonso","475174","0.357350068775791","0.38117537826685","13.3418844566713","88.1651994497937","534","557","363"
